name,idx
Flavobacterium phage vB_FspS_lillamy9-1,1310
Flavobacterium phage vB_FspS_morran9-1,1311
Flavobacterium phage vB_FspS_mumin9-1,1312
Flavobacterium phage vB_FspS_mymlan6-1,1313
Flavobacterium phage vB_FspS_sniff9-1,1314
Flavobacterium phage vB_FspS_snork6-1,1315
Flavobacterium phage vB_FspS_snusmum6-1,1316
Flavobacterium phage vB_FspS_stinky9-1,1317
Flavobacterium phage vB_FspS_tooticki6-1,1318
Citrobacter phage Sazh,1319
Stenotrophomonas phage Moby,132
Citrobacter phage CF1 DK-2017,1320
Citrobacter virus Stevie,1321
Cronobacter phage CS01,1322
Enterobacter phage Ec_L1,1323
Enterobacteria phage phiJLA23,1324
Enterobacteria phage vB_EcoS_IME18,1325
Enterobacteria phage vB_EcoS_IME347,1326
Enterobacteria phage vB_EcoS_IME542,1327
Enterobacteria phage vB_EcoS_NBD2,1328
Enterobacteria phage vB_EcoS_Rogue1,1329
Stenotrophomonas phage YB07,133
Escherichia phage ADB-2,1330
Escherichia phage C119,1331
Escherichia phage DTL,1332
Escherichia phage Eco_BIFF,1333
Escherichia phage Henu8,1334
Escherichia phage JMPW1,1335
Escherichia phage JMPW2,1336
Escherichia phage LL5,1337
Escherichia phage PGN590,1338
Escherichia phage SRT8,1339
Synechococcus phage Bellamy,134
Escherichia phage aalborv,1340
Escherichia phage aaroes,1341
Escherichia phage atuna,1342
Escherichia phage damhaus,1343
Escherichia phage e4/1c,1344
Escherichia phage egaa,1345
Escherichia phage grams,1346
Escherichia phage haarsle,1347
Escherichia phage herni,1348
Escherichia phage tonijn,1349
Synechococcus phage S-CRM01,135
Escherichia phage tonn,1350
Escherichia phage tonnikala,1351
Escherichia phage tunus,1352
Escherichia phage vB_EcoS-95,1353
Escherichia phage vB_EcoS-IME253,1354
Escherichia phage vB_EcoS_ESCO41,1355
Escherichia phage vB_EcoS_G29-2,1356
Escherichia phage vB_EcoS_SH2,1357
Escherichia phage vB_Ecos_CEB_EC3a,1358
Escherichia phage vojen,1359
Synechococcus phage S-MbCM100,136
Klebsiella phage 13,1360
Klebsiella phage 1513,1361
Klebsiella phage GH-K3,1362
Klebsiella phage KLPN1,1363
Klebsiella phage KOX1,1364
Klebsiella phage KP1801,1365
Klebsiella phage KP36,1366
Klebsiella phage KPN N141,1367
Klebsiella phage KpKT21phi1,1368
Klebsiella phage MezzoGao,1369
Synechococcus phage S-PM2,137
Klebsiella phage NJR15,1370
Klebsiella phage NJS1,1371
Klebsiella phage NJS2,1372
Klebsiella phage PKP126,1373
Klebsiella phage PhiKpNIH-2,1374
Klebsiella phage Shelby,1375
Klebsiella phage Sin4,1376
Klebsiella phage Skenny,1377
Klebsiella phage Sushi,1378
Klebsiella phage Sweeny,1379
Synechococcus phage S-RIM2 R1_1999,138
Klebsiella phage TAH8,1380
Klebsiella phage TSK1,1381
Klebsiella phage vB_KpnS_15-38_KLPPOU149,1382
Klebsiella phage vB_KpnS_IMGroot,1383
Klebsiella phage vB_KpnS_KpV522,1384
Klebsiella phage vB_KpnS_SegesCirculi,1385
Klebsiella virus GML-KpCol1,1386
Pantoea phage vB_PagM_AAM37,1387
Pantoea phage vB_PagM_PSKM,1388
Pantoea phage vB_PagS_AAS23,1389
Synechococcus phage S-RIM8 A.HR1,139
Salmonella phage 36,1390
Salmonella phage YSP2,1391
Salmonella phage phSE-2,1392
Salmonella phage slyngel,1393
Salmonella phage vB_SenS_PHB07,1394
Shigella phage JK16,1395
Shigella phage SH6,1396
Shigella phage Sd1,1397
Shigella phage Sf12,1398
Shigella phage Sfin-1,1399
Pseudomonas phage PMBT14,14
Synechococcus phage S-RSM4,140
Shigella phage pSf-1,1400
Shigella phage pSf-2,1401
Shigella phage vB_SflS-ISF001,1402
