contig_id,proteins
Dickeya~phage~vB_DsoM_JA29,318
Dickeya~phage~vB_DsoP_JA10,50
Dinoroseobacter~phage~DFL12phi1,86
Dinoroseobacter~phage~DS-1410Ws-06,77
Dinoroseobacter~phage~vB_DshS-R5C,123
Edwardsiella~phage~PEi21,71
Edwardsiella~phage~eiAU,54
Edwardsiella~phage~eiAU-183,54
Edwardsiella~virus~pEt-SU,284
Eggerthella~phage~PMBT5,44
Enterobacter~phage~Arya,61
Enterobacter~phage~E-2,41
Enterobacter~phage~E-3,36
Enterobacter~phage~EcP1,77
Enterobacter~phage~Ec_L1,85
Enterobacter~phage~Enc34,80
Enterobacter~phage~PG7,295
Enterobacter~phage~Tyrion,56
Enterobacter~phage~phiEap-1,42
Enterobacter~phage~phiEap-2,62
Enterobacter~phage~phiEap-3,278
Enterobacter~phage~phiKDA1,62
Enterobacter~phage~phiT5282H,39
Enterobacter~phage~vB_EclM_CIP9,296
Enterobacteria~phage~13a,55
Enterobacteria~phage~2851,75
Enterobacteria~phage~285P,47
Enterobacteria~phage~9g,83
Enterobacteria~phage~BA14,52
Enterobacteria~phage~BP-4795,85
Enterobacteria~phage~Bp7,263
Enterobacteria~phage~DT571/2,133
Enterobacteria~phage~ES18,79
Enterobacteria~phage~EcoDS1,53
Enterobacteria~phage~HK106,65
Enterobacteria~phage~HK140,71
Enterobacteria~phage~HK225,69
Enterobacteria~phage~IME08,255
Enterobacteria~phage~IME10,27
Enterobacteria~phage~IME_EC2,60
Enterobacteria~phage~J8-65,47
Enterobacteria~phage~JenK1,86
Enterobacteria~phage~JenP1,87
Enterobacteria~phage~JenP2,87
Enterobacteria~phage~K1F,103
Enterobacteria~phage~P88,53
Enterobacteria~phage~RB14,22
Enterobacteria~phage~RB27,271
Enterobacteria~phage~RB51,287
Enterobacteria~phage~RB68,276
Enterobacteria~phage~Sf101,66
Enterobacteria~phage~SfI,65
Enterobacteria~phage~SfV,53
Enterobacteria~phage~T3,47
Enterobacteria~phage~T4,22
Enterobacteria~phage~T7M,55
Enterobacteria~phage~UAB_Phi20,80
Enterobacteria~phage~UAB_Phi78,58
Enterobacteria~phage~VT2-Sakai,83
Enterobacteria~phage~VT2phi_272,83
Enterobacteria~phage~YYZ-2008,75
Enterobacteria~phage~fiAA91-ss,40
Enterobacteria~phage~ime09,31
Enterobacteria~phage~mEp043~c-1,69
Enterobacteria~phage~mEp235,61
Enterobacteria~phage~mEp237,63
Enterobacteria~phage~mEp460,59
Enterobacteria~phage~phi80,63
Enterobacteria~phage~phi92,252
Enterobacteria~phage~phiJLA23,65
Enterobacteria~phage~phiP27,58
Enterobacteria~phage~vB_EcoM-FV3,30
Enterobacteria~phage~vB_EcoM_ACG-C40,31
Enterobacteria~phage~vB_EcoP_ACG-C91,56
Enterobacteria~phage~vB_EcoP_IME390,46
Enterobacteria~phage~vB_EcoS_IME18,82
Enterobacteria~phage~vB_EcoS_IME347,87
Enterobacteria~phage~vB_EcoS_IME542,71
Enterobacteria~phage~vB_EcoS_NBD2,87
Enterobacteria~phage~vB_EcoS_Rogue1,74
Enterobacterial~phage~mEp213,74
Enterobacterial~phage~mEp390,59
Enterobacteriaphage~UAB_Phi87,147
Enterococcus~phage~AUEF3,68
Enterococcus~phage~ECP3,220
Enterococcus~phage~EFAP-1,24
Enterococcus~phage~EFC-1,59
Enterococcus~phage~EFDG1,192
Enterococcus~phage~EFLK1,198
Enterococcus~phage~EFP01,193
Enterococcus~phage~EFRM31,23
Enterococcus~phage~Ec-ZZ2,59
Enterococcus~phage~EfV12-phi1,191
Enterococcus~phage~EfaCPT1,69
Enterococcus~phage~IME-EF4,60
Enterococcus~phage~IME-EFm1,70
Enterococcus~phage~IME-EFm5,70
Enterococcus~phage~IME_EF3,69
Enterococcus~phage~LY0322,64
Enterococcus~phage~PMBT2,67
Enterococcus~phage~SANTOR1,60
Enterococcus~phage~SAP6,44
Enterococcus~phage~VD13,88
Enterococcus~phage~phiEf11,65
Enterococcus~phage~phiFL1A,61
